timestamp, IGNORE, OPEN, HIGH, LOW, CLOSE, IGNORE, VOL
2018-12-05 12-AM,BTCUSD,3904.7,3916.3,3895,3907.1,189.64,740562.5
2018-12-04 11-PM,BTCUSD,3899.8,3907.9,3877,3904.7,294.77,1148138.41
2018-12-04 10-PM,BTCUSD,3896.8,3905,3875.1,3899.8,169.52,659341.6
2018-12-04 09-PM,BTCUSD,3867.9,3909.6,3856,3896.8,234.87,910140.79
2018-12-04 08-PM,BTCUSD,3907.1,3908.2,3856,3867.9,363.56,1413952.78
2018-12-04 07-PM,BTCUSD,3910.1,3924.8,3899.9,3907.1,229.81,899008.2
2018-12-04 06-PM,BTCUSD,3912.8,3919,3886.3,3910.1,142.35,555872.47
2018-12-04 05-PM,BTCUSD,3942,3948.4,3888.9,3912.8,451.02,1765092.14
2018-12-04 04-PM,BTCUSD,3972.4,3972.5,3914.6,3942,433.73,1708052.1
2018-12-04 03-PM,BTCUSD,3996.4,4059.3,3954.9,3972.4,809.94,3238096.71
2018-12-04 02-PM,BTCUSD,3955,3996.6,3952.9,3996.4,191.07,759424.84
2018-12-04 01-PM,BTCUSD,3948.9,3984.4,3937.9,3955,346.12,1372532.63
2018-12-04 12-PM,BTCUSD,3960,3960,3942.4,3948.9,94.23,372405.32
2018-12-04 11-AM,BTCUSD,3939,3960.4,3930.7,3960,150.55,593953.3
2018-12-04 10-AM,BTCUSD,3958.5,3999,3931.2,3939,243.62,963089.26
2018-12-04 09-AM,BTCUSD,3947.9,3974,3947.9,3958.5,270.51,1070398.9
2018-12-04 08-AM,BTCUSD,3974.4,3988.4,3942.1,3947.9,193.08,764078.7
2018-12-04 07-AM,BTCUSD,3937.8,3974.4,3931.6,3974.4,533.24,2104744.64
2018-12-04 06-AM,BTCUSD,3772.6,4004.4,3728.7,3937.8,1770.45,6842304.15
2018-12-04 05-AM,BTCUSD,3815.9,3835.1,3750,3772.6,582.73,2215523.12
2018-12-04 04-AM,BTCUSD,3817.7,3830.4,3799.7,3815.9,175.74,670570.79
2018-12-04 03-AM,BTCUSD,3834.4,3841.8,3775,3817.7,456.11,1740788.3
